"","study","treatment","therm1","therm2","therm3","therm4"
"269",1,"Recycling Script by Gay Canvasser",72,72,NA,NA
"270",1,"Same-Sex Marriage Script by Straight Canvasser",81,81,NA,NA
"271",1,"Same-Sex Marriage Script by Straight Canvasser",55,55,NA,NA
"272",1,"Recycling Script by Straight Canvasser",48,NA,NA,NA
"273",1,"No Contact",100,99,NA,NA
"274",1,"No Contact",42,42,NA,NA
"275",1,"No Contact",96,96,NA,NA
"276",1,"No Contact",62,62,NA,NA
"277",1,"No Contact",50,48,NA,NA
"278",1,"No Contact",50,53,NA,NA
"279",1,"No Contact",100,100,NA,NA
"280",1,"No Contact",75,75,NA,NA
"281",1,"Recycling Script by Straight Canvasser",3,3,NA,NA
"282",1,"No Contact",91,91,NA,NA
"283",1,"No Contact",72,72,NA,NA
"284",1,"Same-Sex Marriage Script by Gay Canvasser",69,69,NA,NA
"285",1,"Same-Sex Marriage Script by Gay Canvasser",51,59,NA,NA
"286",1,"Recycling Script by Straight Canvasser",80,80,NA,NA
"287",1,"No Contact",76,76,NA,NA
"288",1,"No Contact",50,45,NA,NA
"289",1,"No Contact",59,59,NA,NA
"290",1,"Recycling Script by Straight Canvasser",62,62,NA,NA
"291",1,"No Contact",75,NA,NA,NA
"292",1,"No Contact",50,43,NA,NA
"293",1,"No Contact",86,NA,NA,NA
"294",1,"No Contact",86,86,NA,NA
"295",1,"No Contact",51,51,NA,NA
"296",1,"No Contact",100,100,NA,NA
"297",1,"No Contact",51,51,NA,NA
"298",1,"Same-Sex Marriage Script by Gay Canvasser",1,1,NA,NA
"299",1,"Same-Sex Marriage Script by Gay Canvasser",72,72,NA,NA
"300",1,"Recycling Script by Gay Canvasser",27,27,NA,NA
"301",1,"Recycling Script by Gay Canvasser",67,NA,NA,NA
"302",1,"Recycling Script by Gay Canvasser",86,86,NA,NA
"303",1,"No Contact",61,61,NA,NA
"304",1,"Recycling Script by Gay Canvasser",50,52,NA,NA
"305",1,"Recycling Script by Gay Canvasser",31,30,NA,NA
"306",1,"Recycling Script by Gay Canvasser",47,47,NA,NA
"307",1,"Same-Sex Marriage Script by Gay Canvasser",86,86,NA,NA
"308",1,"Same-Sex Marriage Script by Gay Canvasser",51,NA,NA,NA
"309",1,"No Contact",31,31,NA,NA
"310",1,"No Contact",50,56,NA,NA
"311",1,"No Contact",50,54,NA,NA
"312",1,"No Contact",65,65,NA,NA
"313",1,"No Contact",60,60,NA,NA
"314",1,"No Contact",50,46,NA,NA
"315",1,"No Contact",99,99,NA,NA
"316",1,"No Contact",84,84,NA,NA
"317",1,"No Contact",75,NA,NA,NA
"318",1,"No Contact",50,57,NA,NA
"319",1,"Recycling Script by Gay Canvasser",50,45,NA,NA
"320",1,"Recycling Script by Gay Canvasser",55,55,NA,NA
"321",1,"No Contact",19,19,NA,NA
"322",1,"No Contact",50,48,NA,NA
"323",1,"Same-Sex Marriage Script by Straight Canvasser",52,60,NA,NA
"324",1,"No Contact",40,40,NA,NA
"325",1,"No Contact",81,81,NA,NA
"326",1,"Recycling Script by Straight Canvasser",80,NA,NA,NA
"327",1,"Recycling Script by Straight Canvasser",25,25,NA,NA
"328",1,"No Contact",75,75,NA,NA
"329",1,"No Contact",1,1,NA,NA
"330",1,"No Contact",100,94,NA,NA
"331",1,"Recycling Script by Gay Canvasser",70,70,NA,NA
"332",1,"Recycling Script by Gay Canvasser",50,51,NA,NA
"333",1,"No Contact",83,83,NA,NA
"334",1,"No Contact",80,80,NA,NA
"335",1,"No Contact",80,80,NA,NA
"336",1,"No Contact",72,72,NA,NA
"337",1,"Same-Sex Marriage Script by Straight Canvasser",79,79,NA,NA
"338",1,"No Contact",50,51,NA,NA
"339",1,"No Contact",23,NA,NA,NA
"340",1,"Same-Sex Marriage Script by Gay Canvasser",50,54,NA,NA
"341",1,"Same-Sex Marriage Script by Straight Canvasser",53,69,NA,NA
"342",1,"No Contact",50,50,NA,NA
"343",1,"No Contact",50,53,NA,NA
"344",1,"Recycling Script by Gay Canvasser",31,31,NA,NA
"345",1,"No Contact",21,21,NA,NA
"346",1,"Recycling Script by Gay Canvasser",6,8,NA,NA
"347",1,"No Contact",50,43,NA,NA
"348",1,"Recycling Script by Straight Canvasser",71,71,NA,NA
"349",1,"Recycling Script by Straight Canvasser",70,70,NA,NA
"350",1,"No Contact",96,96,NA,NA
"351",1,"Same-Sex Marriage Script by Gay Canvasser",89,89,NA,NA
"352",1,"Same-Sex Marriage Script by Gay Canvasser",1,3,NA,NA
"353",1,"Recycling Script by Straight Canvasser",83,83,NA,NA
"354",1,"Recycling Script by Gay Canvasser",50,45,NA,NA
"355",1,"Same-Sex Marriage Script by Gay Canvasser",70,70,NA,NA
"356",1,"Same-Sex Marriage Script by Gay Canvasser",40,40,NA,NA
"357",1,"No Contact",90,90,NA,NA
"358",1,"No Contact",50,54,NA,NA
"359",1,"No Contact",67,67,NA,NA
"360",1,"No Contact",53,53,NA,NA
"361",1,"No Contact",11,11,NA,NA
"362",1,"No Contact",50,NA,NA,NA
"363",1,"Recycling Script by Straight Canvasser",51,51,NA,NA
"364",1,"Same-Sex Marriage Script by Gay Canvasser",49,49,NA,NA
"365",1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
"366",1,"No Contact",90,90,NA,NA
"367",1,"No Contact",49,NA,NA,NA
"368",1,"No Contact",93,93,NA,NA
"369",1,"No Contact",4,4,NA,NA
"370",1,"No Contact",36,36,NA,NA
"371",1,"No Contact",50,NA,NA,NA
"372",1,"Recycling Script by Straight Canvasser",48,48,NA,NA
"373",1,"Recycling Script by Gay Canvasser",1,3,NA,NA
"374",1,"No Contact",100,96,NA,NA
"375",1,"No Contact",50,49,NA,NA
"376",1,"No Contact",52,52,NA,NA
"377",1,"No Contact",22,NA,NA,NA
"378",1,"No Contact",2,2,NA,NA
"379",1,"No Contact",100,97,NA,NA
"380",1,"No Contact",50,50,NA,NA
"381",1,"No Contact",51,51,NA,NA
"382",1,"No Contact",90,90,NA,NA
"383",1,"No Contact",33,33,NA,NA
"384",1,"No Contact",50,53,NA,NA
"385",1,"Same-Sex Marriage Script by Straight Canvasser",50,NA,NA,NA
"386",1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
"387",1,"No Contact",40,NA,NA,NA
"388",1,"Recycling Script by Straight Canvasser",100,100,NA,NA
"389",1,"Recycling Script by Straight Canvasser",84,84,NA,NA
"390",1,"Recycling Script by Straight Canvasser",51,51,NA,NA
"391",1,"Recycling Script by Straight Canvasser",34,34,NA,NA
"392",1,"Recycling Script by Straight Canvasser",44,44,NA,NA
"393",1,"No Contact",96,96,NA,NA
"394",1,"Recycling Script by Gay Canvasser",90,NA,NA,NA
"395",1,"No Contact",44,44,NA,NA
"396",1,"No Contact",52,52,NA,NA
"397",1,"No Contact",80,80,NA,NA
"398",1,"Recycling Script by Straight Canvasser",95,95,NA,NA
"399",1,"No Contact",63,63,NA,NA
"400",1,"No Contact",99,99,NA,NA
"401",1,"No Contact",78,78,NA,NA
"402",1,"No Contact",1,1,NA,NA
"403",1,"No Contact",100,100,NA,NA
"404",1,"No Contact",27,27,NA,NA
"405",1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
"406",1,"Same-Sex Marriage Script by Gay Canvasser",3,3,NA,NA
"407",1,"Same-Sex Marriage Script by Straight Canvasser",83,83,NA,NA
"408",1,"No Contact",95,95,NA,NA
"409",1,"No Contact",50,49,NA,NA
"410",1,"No Contact",50,50,NA,NA
"411",1,"No Contact",90,90,NA,NA
"412",1,"No Contact",50,53,NA,NA
"413",1,"No Contact",12,12,NA,NA
"414",1,"No Contact",91,91,NA,NA
"415",1,"Recycling Script by Straight Canvasser",72,67,NA,NA
"416",1,"Recycling Script by Straight Canvasser",50,51,NA,NA
"417",1,"No Contact",90,90,NA,NA
"418",1,"No Contact",3,3,NA,NA
"419",1,"Recycling Script by Gay Canvasser",33,33,NA,NA
"420",1,"Recycling Script by Gay Canvasser",51,51,NA,NA
"421",1,"Same-Sex Marriage Script by Straight Canvasser",50,54,NA,NA
"422",1,"Same-Sex Marriage Script by Straight Canvasser",50,46,NA,NA
"423",1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
"424",1,"No Contact",97,97,NA,NA
"425",1,"No Contact",100,100,NA,NA
"426",1,"No Contact",6,6,NA,NA
"427",1,"Recycling Script by Gay Canvasser",42,42,NA,NA
"428",1,"Recycling Script by Gay Canvasser",85,85,NA,NA
"429",1,"Recycling Script by Gay Canvasser",51,51,NA,NA
"430",1,"No Contact",83,NA,NA,NA
"431",1,"Recycling Script by Gay Canvasser",90,NA,NA,NA
"432",1,"Recycling Script by Gay Canvasser",47,47,NA,NA
"433",1,"No Contact",70,70,NA,NA
"434",1,"Recycling Script by Gay Canvasser",91,91,NA,NA
"435",1,"Same-Sex Marriage Script by Gay Canvasser",1,1,NA,NA
"436",1,"Same-Sex Marriage Script by Gay Canvasser",96,96,NA,NA
"437",1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
"438",1,"No Contact",30,30,NA,NA
"439",1,"No Contact",91,91,NA,NA
"440",1,"Same-Sex Marriage Script by Straight Canvasser",2,NA,NA,NA
"441",1,"No Contact",71,71,NA,NA
"442",1,"No Contact",10,10,NA,NA
"443",1,"Recycling Script by Straight Canvasser",54,54,NA,NA
"444",1,"Recycling Script by Straight Canvasser",3,3,NA,NA
"445",1,"Recycling Script by Straight Canvasser",40,40,NA,NA
"446",1,"Same-Sex Marriage Script by Straight Canvasser",47,61,NA,NA
"447",1,"Same-Sex Marriage Script by Straight Canvasser",50,51,NA,NA
"448",1,"No Contact",12,12,NA,NA
"449",1,"Recycling Script by Straight Canvasser",7,7,NA,NA
"450",1,"No Contact",71,71,NA,NA
"451",1,"Recycling Script by Straight Canvasser",20,20,NA,NA
"452",1,"Recycling Script by Straight Canvasser",50,50,NA,NA
"453",1,"Recycling Script by Straight Canvasser",87,84,NA,NA
"454",1,"No Contact",71,71,NA,NA
"455",1,"Same-Sex Marriage Script by Straight Canvasser",91,91,NA,NA
"456",1,"Same-Sex Marriage Script by Straight Canvasser",42,42,NA,NA
"457",1,"No Contact",49,49,NA,NA
"458",1,"No Contact",96,96,NA,NA
"459",1,"Recycling Script by Gay Canvasser",100,NA,NA,NA
"460",1,"Same-Sex Marriage Script by Gay Canvasser",50,46,NA,NA
"461",1,"Same-Sex Marriage Script by Gay Canvasser",10,10,NA,NA
"462",1,"No Contact",79,79,NA,NA
"463",1,"No Contact",61,61,NA,NA
"464",1,"No Contact",81,81,NA,NA
"465",1,"No Contact",94,94,NA,NA
"466",1,"Same-Sex Marriage Script by Gay Canvasser",62,74,NA,NA
"467",1,"Same-Sex Marriage Script by Gay Canvasser",50,52,NA,NA
"468",1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
"469",1,"Recycling Script by Gay Canvasser",50,54,NA,NA
"470",1,"Recycling Script by Gay Canvasser",22,22,NA,NA
"471",1,"No Contact",80,NA,NA,NA
"472",1,"No Contact",100,100,NA,NA
"473",1,"No Contact",100,NA,NA,NA
"474",1,"No Contact",50,52,NA,NA
"475",1,"No Contact",100,100,NA,NA
"476",1,"Recycling Script by Straight Canvasser",86,87,NA,NA
"477",1,"Recycling Script by Gay Canvasser",96,96,NA,NA
"478",1,"Recycling Script by Gay Canvasser",86,86,NA,NA
"479",1,"Recycling Script by Gay Canvasser",50,49,NA,NA
"480",1,"Same-Sex Marriage Script by Straight Canvasser",95,95,NA,NA
"481",1,"Recycling Script by Gay Canvasser",100,100,NA,NA
"482",1,"Recycling Script by Gay Canvasser",70,70,NA,NA
"483",1,"Recycling Script by Gay Canvasser",86,86,NA,NA
"484",1,"Recycling Script by Gay Canvasser",90,90,NA,NA
"485",1,"No Contact",85,85,NA,NA
"486",1,"No Contact",84,84,NA,NA
"487",1,"No Contact",70,NA,NA,NA
"488",1,"No Contact",57,57,NA,NA
"489",1,"No Contact",50,54,NA,NA
"490",1,"No Contact",50,52,NA,NA
"491",1,"Recycling Script by Straight Canvasser",81,NA,NA,NA
"492",1,"Recycling Script by Straight Canvasser",62,62,NA,NA
"493",1,"No Contact",100,100,NA,NA
"494",1,"No Contact",100,100,NA,NA
"495",1,"No Contact",1,1,NA,NA
"496",1,"No Contact",100,100,NA,NA
"497",1,"Same-Sex Marriage Script by Straight Canvasser",50,44,NA,NA
"498",1,"Same-Sex Marriage Script by Straight Canvasser",72,72,NA,NA
"499",1,"No Contact",51,51,NA,NA
"500",1,"No Contact",58,58,NA,NA
"501",1,"Same-Sex Marriage Script by Straight Canvasser",87,87,NA,NA
"502",1,"No Contact",50,51,NA,NA
"503",1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
"504",1,"Same-Sex Marriage Script by Straight Canvasser",69,69,NA,NA
"505",1,"No Contact",3,3,NA,NA
"506",1,"Same-Sex Marriage Script by Gay Canvasser",50,52,NA,NA
"507",1,"Same-Sex Marriage Script by Gay Canvasser",81,81,NA,NA
"508",1,"No Contact",50,49,NA,NA
"509",1,"No Contact",100,94,NA,NA
"510",1,"No Contact",50,57,NA,NA
"511",1,"No Contact",4,4,NA,NA
"512",1,"No Contact",49,49,NA,NA
"513",1,"No Contact",63,63,NA,NA
"514",1,"Same-Sex Marriage Script by Straight Canvasser",50,53,NA,NA
"515",1,"Same-Sex Marriage Script by Straight Canvasser",19,19,NA,NA
"516",1,"No Contact",21,21,NA,NA
"517",1,"No Contact",51,51,NA,NA
"518",1,"No Contact",62,62,NA,NA
"519",1,"No Contact",90,90,NA,NA
"520",1,"No Contact",50,45,NA,NA
"521",1,"No Contact",70,NA,NA,NA
"522",1,"Recycling Script by Gay Canvasser",50,NA,NA,NA
"523",1,"Recycling Script by Gay Canvasser",92,92,NA,NA
