"","study","treatment","therm1","therm2","therm3","therm4"
"43",2,"Same-Sex Marriage Script by Gay Canvasser",6,22,15,NA
"44",2,"Same-Sex Marriage Script by Gay Canvasser",95,100,98,96
"45",2,"No Contact",50,51,48,57
"46",2,"No Contact",1,0,NA,1
"47",2,"No Contact",80,75,70,77
"48",2,"No Contact",89,100,100,90
"49",2,"Same-Sex Marriage Script by Gay Canvasser",91,NA,75,94
"50",2,"Same-Sex Marriage Script by Gay Canvasser",96,93,84,99
"51",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,94,NA
"52",2,"Same-Sex Marriage Script by Gay Canvasser",50,51,52,55
"53",2,"Same-Sex Marriage Script by Gay Canvasser",50,48,50,52
"54",2,"No Contact",50,53,55,63
"55",2,"Same-Sex Marriage Script by Gay Canvasser",55,70,66,70
"56",2,"Same-Sex Marriage Script by Gay Canvasser",50,46,NA,46
"57",2,"Same-Sex Marriage Script by Gay Canvasser",7,0,7,0
"58",2,"Same-Sex Marriage Script by Gay Canvasser",89,81,78,87
"59",2,"Same-Sex Marriage Script by Gay Canvasser",50,62,49,70
"60",2,"No Contact",100,99,98,100
"61",2,"Same-Sex Marriage Script by Gay Canvasser",41,37,NA,48
"62",2,"Same-Sex Marriage Script by Gay Canvasser",19,17,21,35
"63",2,"Same-Sex Marriage Script by Gay Canvasser",43,64,61,73
"64",2,"Same-Sex Marriage Script by Gay Canvasser",49,47,NA,59
"65",2,"Same-Sex Marriage Script by Gay Canvasser",100,NA,92,96
"66",2,"No Contact",91,NA,88,85
"67",2,"No Contact",67,72,65,56
"68",2,"No Contact",7,NA,0,0
"69",2,"No Contact",52,36,63,47
"70",2,"Same-Sex Marriage Script by Gay Canvasser",15,5,2,NA
"71",2,"No Contact",1,NA,NA,16
"72",2,"Same-Sex Marriage Script by Gay Canvasser",99,100,84,81
"73",2,"Same-Sex Marriage Script by Gay Canvasser",5,NA,1,17
"74",2,"Same-Sex Marriage Script by Gay Canvasser",50,47,53,54
"75",2,"No Contact",55,61,54,51
"76",2,"No Contact",100,100,97,96
"77",2,"Same-Sex Marriage Script by Gay Canvasser",51,36,77,59
"78",2,"Same-Sex Marriage Script by Gay Canvasser",55,51,62,54
"79",2,"Same-Sex Marriage Script by Gay Canvasser",3,10,2,7
"80",2,"Same-Sex Marriage Script by Gay Canvasser",50,47,56,62
"81",2,"Same-Sex Marriage Script by Gay Canvasser",50,66,78,82
"82",2,"No Contact",50,NA,47,53
"83",2,"No Contact",7,4,0,10
"84",2,"No Contact",100,100,100,100
"85",2,"No Contact",51,NA,55,49
"86",2,"No Contact",56,68,47,44
"87",2,"No Contact",88,87,78,81
"88",2,"No Contact",50,50,47,42
"89",2,"No Contact",50,49,52,36
"90",2,"Same-Sex Marriage Script by Gay Canvasser",90,88,74,NA
"91",2,"No Contact",2,6,7,NA
"92",2,"No Contact",85,NA,89,96
"93",2,"No Contact",100,96,100,100
"94",2,"No Contact",50,52,51,57
"95",2,"No Contact",50,NA,58,NA
"96",2,"No Contact",76,NA,100,77
"97",2,"No Contact",45,57,NA,44
"98",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,88,95
"99",2,"Same-Sex Marriage Script by Gay Canvasser",81,95,NA,92
"100",2,"No Contact",11,13,4,10
"101",2,"No Contact",50,50,50,NA
"102",2,"No Contact",50,52,NA,NA
"103",2,"Same-Sex Marriage Script by Gay Canvasser",51,52,NA,64
"104",2,"Same-Sex Marriage Script by Gay Canvasser",55,68,61,61
"105",2,"Same-Sex Marriage Script by Gay Canvasser",53,61,NA,44
"106",2,"Same-Sex Marriage Script by Gay Canvasser",58,58,68,62
"107",2,"Same-Sex Marriage Script by Gay Canvasser",3,13,13,14
"108",2,"Same-Sex Marriage Script by Gay Canvasser",50,66,72,70
"109",2,"No Contact",30,24,NA,13
"110",2,"Same-Sex Marriage Script by Gay Canvasser",91,75,83,95
"111",2,"No Contact",2,2,0,0
"112",2,"Same-Sex Marriage Script by Gay Canvasser",52,59,46,62
"113",2,"Same-Sex Marriage Script by Gay Canvasser",63,67,74,60
"114",2,"Same-Sex Marriage Script by Gay Canvasser",9,21,10,0
"115",2,"Same-Sex Marriage Script by Gay Canvasser",90,NA,73,92
"116",2,"Same-Sex Marriage Script by Gay Canvasser",54,NA,56,41
"117",2,"Same-Sex Marriage Script by Gay Canvasser",30,29,35,36
"118",2,"No Contact",50,53,44,55
"119",2,"No Contact",75,68,94,86
"120",2,"No Contact",2,0,12,10
"121",2,"No Contact",42,36,33,39
"122",2,"No Contact",48,50,53,58
"123",2,"Same-Sex Marriage Script by Gay Canvasser",50,50,57,42
"124",2,"Same-Sex Marriage Script by Gay Canvasser",41,41,35,40
"125",2,"No Contact",60,54,NA,59
"126",2,"No Contact",100,96,99,NA
"127",2,"No Contact",50,57,49,60
"128",2,"No Contact",99,99,84,85
"129",2,"No Contact",50,NA,44,45
"130",2,"No Contact",34,29,16,36
"131",2,"No Contact",51,48,54,60
"132",2,"Same-Sex Marriage Script by Gay Canvasser",50,46,41,NA
"133",2,"Same-Sex Marriage Script by Gay Canvasser",96,97,100,NA
"134",2,"No Contact",57,58,72,56
"135",2,"No Contact",99,100,NA,100
"136",2,"No Contact",50,58,NA,41
"137",2,"Same-Sex Marriage Script by Gay Canvasser",75,75,63,60
"138",2,"No Contact",91,84,70,93
"139",2,"Same-Sex Marriage Script by Gay Canvasser",22,37,36,44
"140",2,"Same-Sex Marriage Script by Gay Canvasser",96,100,98,NA
"141",2,"No Contact",88,83,90,90
"142",2,"No Contact",50,NA,48,42
"143",2,"No Contact",100,100,100,NA
"144",2,"No Contact",51,44,60,61
"145",2,"Same-Sex Marriage Script by Gay Canvasser",74,79,NA,71
"146",2,"Same-Sex Marriage Script by Gay Canvasser",36,35,60,32
"147",2,"Same-Sex Marriage Script by Gay Canvasser",10,4,8,7
"148",2,"No Contact",79,67,81,79
"149",2,"No Contact",100,100,NA,93
"150",2,"No Contact",53,61,59,62
"151",2,"No Contact",60,54,42,62
"152",2,"No Contact",50,NA,49,43
"153",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,97
"154",2,"No Contact",90,86,85,90
"155",2,"No Contact",1,0,0,1
"156",2,"Same-Sex Marriage Script by Gay Canvasser",50,48,49,NA
"157",2,"Same-Sex Marriage Script by Gay Canvasser",52,55,36,52
"158",2,"Same-Sex Marriage Script by Gay Canvasser",52,45,50,41
"159",2,"Same-Sex Marriage Script by Gay Canvasser",66,94,NA,78
"160",2,"No Contact",7,5,10,4
"161",2,"No Contact",41,38,46,29
"162",2,"No Contact",100,99,99,88
"163",2,"Same-Sex Marriage Script by Gay Canvasser",1,6,4,12
"164",2,"Same-Sex Marriage Script by Gay Canvasser",91,94,79,95
"165",2,"Same-Sex Marriage Script by Gay Canvasser",50,52,44,50
"166",2,"Same-Sex Marriage Script by Gay Canvasser",4,0,4,2
"167",2,"No Contact",36,32,39,35
"168",2,"No Contact",40,37,48,34
"169",2,"Same-Sex Marriage Script by Gay Canvasser",50,54,51,61
"170",2,"Same-Sex Marriage Script by Gay Canvasser",16,13,13,13
"171",2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,50
"172",2,"Same-Sex Marriage Script by Gay Canvasser",50,54,47,52
"173",2,"Same-Sex Marriage Script by Gay Canvasser",90,NA,89,92
"174",2,"Same-Sex Marriage Script by Gay Canvasser",41,44,NA,48
"175",2,"Same-Sex Marriage Script by Gay Canvasser",6,0,16,NA
"176",2,"Same-Sex Marriage Script by Gay Canvasser",53,64,43,66
"177",2,"Same-Sex Marriage Script by Gay Canvasser",93,92,NA,89
"178",2,"No Contact",100,99,87,97
"179",2,"No Contact",50,50,44,46
"180",2,"No Contact",50,54,53,58
"181",2,"No Contact",22,25,37,17
"182",2,"No Contact",86,NA,85,83
"183",2,"No Contact",1,NA,NA,8
"184",2,"No Contact",50,48,NA,53
"185",2,"No Contact",31,NA,41,31
"186",2,"No Contact",100,92,93,100
"187",2,"No Contact",69,72,80,82
"188",2,"No Contact",50,53,49,56
"189",2,"Same-Sex Marriage Script by Gay Canvasser",100,99,100,100
"190",2,"Same-Sex Marriage Script by Gay Canvasser",12,24,28,3
"191",2,"Same-Sex Marriage Script by Gay Canvasser",61,NA,95,96
"192",2,"No Contact",100,100,100,97
"193",2,"No Contact",47,60,45,30
"194",2,"No Contact",96,100,97,94
"195",2,"No Contact",51,NA,48,NA
"196",2,"No Contact",50,54,49,52
"197",2,"No Contact",2,8,0,0
"198",2,"Same-Sex Marriage Script by Gay Canvasser",50,54,46,NA
"199",2,"No Contact",50,51,52,53
"200",2,"No Contact",100,100,99,96
"201",2,"No Contact",70,60,60,72
"202",2,"Same-Sex Marriage Script by Gay Canvasser",41,48,54,NA
"203",2,"Same-Sex Marriage Script by Gay Canvasser",79,88,94,73
"204",2,"Same-Sex Marriage Script by Gay Canvasser",75,79,65,79
"205",2,"Same-Sex Marriage Script by Gay Canvasser",50,38,47,49
"206",2,"Same-Sex Marriage Script by Gay Canvasser",19,26,17,31
"207",2,"Same-Sex Marriage Script by Gay Canvasser",50,64,58,NA
"208",2,"No Contact",50,NA,49,52
"209",2,"No Contact",32,30,15,NA
"210",2,"No Contact",50,47,NA,52
"211",2,"No Contact",41,30,59,33
"212",2,"No Contact",6,0,NA,5
"213",2,"No Contact",50,47,41,55
"214",2,"Same-Sex Marriage Script by Gay Canvasser",18,19,NA,34
"215",2,"Same-Sex Marriage Script by Gay Canvasser",52,72,65,NA
"216",2,"Same-Sex Marriage Script by Gay Canvasser",43,57,43,29
"217",2,"Same-Sex Marriage Script by Gay Canvasser",49,37,NA,42
"218",2,"Same-Sex Marriage Script by Gay Canvasser",51,49,50,53
"219",2,"Same-Sex Marriage Script by Gay Canvasser",91,100,100,85
"220",2,"Same-Sex Marriage Script by Gay Canvasser",50,45,53,54
"221",2,"Same-Sex Marriage Script by Gay Canvasser",2,2,0,1
"222",2,"Same-Sex Marriage Script by Gay Canvasser",51,46,55,48
"223",2,"Same-Sex Marriage Script by Gay Canvasser",85,NA,90,97
"224",2,"No Contact",50,54,NA,62
"225",2,"No Contact",99,100,100,100
"226",2,"No Contact",51,50,45,57
"227",2,"No Contact",51,48,46,46
"228",2,"No Contact",50,52,47,48
"229",2,"No Contact",50,49,50,38
"230",2,"Same-Sex Marriage Script by Gay Canvasser",42,NA,46,41
"231",2,"Same-Sex Marriage Script by Gay Canvasser",9,NA,34,0
"232",2,"No Contact",97,100,83,NA
"233",2,"No Contact",50,NA,52,34
"234",2,"No Contact",99,NA,86,100
"235",2,"No Contact",100,94,100,99
"236",2,"Same-Sex Marriage Script by Gay Canvasser",94,93,88,90
"237",2,"Same-Sex Marriage Script by Gay Canvasser",98,NA,91,82
"238",2,"Same-Sex Marriage Script by Gay Canvasser",60,64,NA,62
"239",2,"Same-Sex Marriage Script by Gay Canvasser",55,58,76,54
"240",2,"Same-Sex Marriage Script by Gay Canvasser",50,51,51,NA
"241",2,"Same-Sex Marriage Script by Gay Canvasser",3,5,NA,2
"242",2,"Same-Sex Marriage Script by Gay Canvasser",50,80,76,78
"243",2,"Same-Sex Marriage Script by Gay Canvasser",84,88,100,88
"244",2,"Same-Sex Marriage Script by Gay Canvasser",70,57,75,87
"245",2,"Same-Sex Marriage Script by Gay Canvasser",6,0,2,11
"246",2,"Same-Sex Marriage Script by Gay Canvasser",10,27,32,41
"247",2,"Same-Sex Marriage Script by Gay Canvasser",96,100,92,95
"248",2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,52,50
"249",2,"Same-Sex Marriage Script by Gay Canvasser",99,85,100,NA
"250",2,"Same-Sex Marriage Script by Gay Canvasser",54,56,40,59
"251",2,"Same-Sex Marriage Script by Gay Canvasser",91,100,76,94
"252",2,"Same-Sex Marriage Script by Gay Canvasser",13,14,17,10
"253",2,"Same-Sex Marriage Script by Gay Canvasser",51,47,NA,43
"254",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,NA
"255",2,"No Contact",84,85,NA,78
"256",2,"No Contact",50,46,57,51
"257",2,"No Contact",73,85,76,55
"258",2,"No Contact",53,55,73,61
"259",2,"No Contact",100,100,NA,91
"260",2,"Same-Sex Marriage Script by Gay Canvasser",29,NA,8,35
"261",2,"Same-Sex Marriage Script by Gay Canvasser",11,17,1,9
"262",2,"Same-Sex Marriage Script by Gay Canvasser",99,NA,NA,98
"263",2,"Same-Sex Marriage Script by Gay Canvasser",81,66,85,NA
"264",2,"Same-Sex Marriage Script by Gay Canvasser",71,74,85,56
"265",2,"Same-Sex Marriage Script by Gay Canvasser",74,NA,75,67
"266",2,"Same-Sex Marriage Script by Gay Canvasser",50,85,76,77
"267",2,"Same-Sex Marriage Script by Gay Canvasser",70,66,76,NA
"268",2,"No Contact",87,100,77,91
"269",2,"Same-Sex Marriage Script by Gay Canvasser",50,49,52,49
"270",2,"Same-Sex Marriage Script by Gay Canvasser",57,NA,48,NA
"271",2,"Same-Sex Marriage Script by Gay Canvasser",76,79,73,68
"272",2,"Same-Sex Marriage Script by Gay Canvasser",50,53,40,51
"273",2,"Same-Sex Marriage Script by Gay Canvasser",70,67,NA,58
"274",2,"No Contact",91,91,88,100
"275",2,"No Contact",50,57,42,53
"276",2,"No Contact",100,100,98,100
"277",2,"No Contact",55,57,54,65
"278",2,"No Contact",50,47,56,51
"279",2,"No Contact",86,67,81,98
"280",2,"No Contact",7,6,NA,15
"281",2,"No Contact",100,100,88,93
"282",2,"No Contact",31,44,31,37
"283",2,"No Contact",52,32,39,57
"284",2,"No Contact",51,NA,52,43
"285",2,"No Contact",41,40,51,35
"286",2,"Same-Sex Marriage Script by Gay Canvasser",84,86,79,73
"287",2,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
"288",2,"No Contact",45,42,50,46
"289",2,"No Contact",71,56,84,76
"290",2,"No Contact",31,20,46,24
"291",2,"No Contact",52,32,47,48
"292",2,"No Contact",65,NA,64,61
"293",2,"Same-Sex Marriage Script by Gay Canvasser",51,45,NA,45
"294",2,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,98
"295",2,"Same-Sex Marriage Script by Gay Canvasser",75,73,91,61
"296",2,"No Contact",51,30,46,45
"297",2,"No Contact",42,NA,36,33
"298",2,"No Contact",45,40,59,NA
"299",2,"Same-Sex Marriage Script by Gay Canvasser",77,94,99,78
"300",2,"Same-Sex Marriage Script by Gay Canvasser",52,82,90,NA
"301",2,"Same-Sex Marriage Script by Gay Canvasser",50,55,45,48
"302",2,"Same-Sex Marriage Script by Gay Canvasser",86,96,86,91
"303",2,"No Contact",52,65,58,55
"304",2,"No Contact",46,59,36,49
"305",2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,43,52
"306",2,"Same-Sex Marriage Script by Gay Canvasser",1,9,0,2
"307",2,"Same-Sex Marriage Script by Gay Canvasser",77,75,74,NA
"308",2,"Same-Sex Marriage Script by Gay Canvasser",22,25,24,32
"309",2,"Same-Sex Marriage Script by Gay Canvasser",79,76,77,70
"310",2,"Same-Sex Marriage Script by Gay Canvasser",50,54,55,53
"311",2,"Same-Sex Marriage Script by Gay Canvasser",66,53,73,69
"312",2,"Same-Sex Marriage Script by Gay Canvasser",53,48,59,51
"313",2,"No Contact",75,78,61,86
"314",2,"Same-Sex Marriage Script by Gay Canvasser",50,48,43,56
"315",2,"Same-Sex Marriage Script by Gay Canvasser",65,69,69,55
"316",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,95,95
"317",2,"Same-Sex Marriage Script by Gay Canvasser",51,51,58,52
"318",2,"No Contact",58,69,62,58
"319",2,"No Contact",32,30,22,30
"320",2,"No Contact",51,42,56,43
"321",2,"No Contact",50,NA,44,NA
"322",2,"No Contact",5,0,2,3
"323",2,"No Contact",2,14,0,NA
"324",2,"No Contact",37,46,56,50
"325",2,"Same-Sex Marriage Script by Gay Canvasser",91,89,NA,91
"326",2,"Same-Sex Marriage Script by Gay Canvasser",2,9,NA,4
"327",2,"Same-Sex Marriage Script by Gay Canvasser",50,53,47,46
"328",2,"Same-Sex Marriage Script by Gay Canvasser",6,0,NA,0
"329",2,"Same-Sex Marriage Script by Gay Canvasser",50,56,45,47
"330",2,"Same-Sex Marriage Script by Gay Canvasser",50,66,49,73
"331",2,"No Contact",60,NA,62,80
"332",2,"No Contact",50,52,59,37
"333",2,"No Contact",58,66,NA,47
"334",2,"No Contact",50,50,54,46
"335",2,"Same-Sex Marriage Script by Gay Canvasser",31,32,53,56
"336",2,"Same-Sex Marriage Script by Gay Canvasser",3,18,17,31
"337",2,"No Contact",50,50,51,45
"338",2,"No Contact",3,0,1,0
"339",2,"No Contact",50,NA,55,47
"340",2,"No Contact",100,95,100,NA
"341",2,"Same-Sex Marriage Script by Gay Canvasser",38,41,70,35
"342",2,"Same-Sex Marriage Script by Gay Canvasser",56,50,62,45
"343",2,"No Contact",26,21,11,29
"344",2,"No Contact",70,79,66,75
"345",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
"346",2,"Same-Sex Marriage Script by Gay Canvasser",50,59,56,58
"347",2,"Same-Sex Marriage Script by Gay Canvasser",52,58,NA,69
"348",2,"Same-Sex Marriage Script by Gay Canvasser",50,53,58,49
"349",2,"Same-Sex Marriage Script by Gay Canvasser",41,NA,41,46
"350",2,"Same-Sex Marriage Script by Gay Canvasser",91,99,94,94
"351",2,"Same-Sex Marriage Script by Gay Canvasser",90,67,100,81
"352",2,"No Contact",50,NA,44,45
"353",2,"No Contact",70,60,56,71
"354",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
"355",2,"No Contact",42,39,32,42
"356",2,"No Contact",85,82,NA,81
"357",2,"No Contact",22,26,14,23
"358",2,"No Contact",100,100,100,NA
"359",2,"Same-Sex Marriage Script by Gay Canvasser",21,21,33,28
"360",2,"Same-Sex Marriage Script by Gay Canvasser",94,79,100,95
"361",2,"Same-Sex Marriage Script by Gay Canvasser",78,84,71,NA
"362",2,"No Contact",50,51,NA,46
"363",2,"No Contact",29,34,25,45
"364",2,"No Contact",64,63,80,NA
"365",2,"Same-Sex Marriage Script by Gay Canvasser",59,73,64,NA
"366",2,"Same-Sex Marriage Script by Gay Canvasser",73,70,NA,71
"367",2,"Same-Sex Marriage Script by Gay Canvasser",95,95,100,76
"368",2,"Same-Sex Marriage Script by Gay Canvasser",50,64,NA,55
"369",2,"Same-Sex Marriage Script by Gay Canvasser",54,75,NA,82
"370",2,"Same-Sex Marriage Script by Gay Canvasser",73,80,73,72
"371",2,"Same-Sex Marriage Script by Gay Canvasser",97,100,100,100
"372",2,"Same-Sex Marriage Script by Gay Canvasser",79,80,NA,71
"373",2,"Same-Sex Marriage Script by Gay Canvasser",60,NA,51,67
"374",2,"Same-Sex Marriage Script by Gay Canvasser",50,52,58,72
"375",2,"No Contact",5,NA,8,0
"376",2,"No Contact",10,22,14,10
"377",2,"No Contact",90,99,94,86
"378",2,"No Contact",22,21,31,NA
"379",2,"No Contact",72,72,63,76
"380",2,"No Contact",13,37,22,21
"381",2,"No Contact",56,57,47,62
"382",2,"No Contact",50,49,46,60
"383",2,"No Contact",54,52,NA,NA
"384",2,"No Contact",50,51,47,55
"385",2,"No Contact",50,53,48,55
"386",2,"Same-Sex Marriage Script by Gay Canvasser",33,36,42,28
"387",2,"Same-Sex Marriage Script by Gay Canvasser",50,50,52,46
"388",2,"Same-Sex Marriage Script by Gay Canvasser",4,0,0,0
"389",2,"No Contact",40,36,NA,NA
"390",2,"No Contact",2,2,6,0
"391",2,"No Contact",74,78,60,75
"392",2,"No Contact",60,63,48,64
"393",2,"Same-Sex Marriage Script by Gay Canvasser",20,35,36,28
"394",2,"Same-Sex Marriage Script by Gay Canvasser",1,11,2,0
"395",2,"Same-Sex Marriage Script by Gay Canvasser",5,0,23,8
"396",2,"Same-Sex Marriage Script by Gay Canvasser",81,96,91,89
"397",2,"No Contact",51,47,NA,46
"398",2,"No Contact",96,88,95,100
"399",2,"Same-Sex Marriage Script by Gay Canvasser",83,89,87,83
"400",2,"Same-Sex Marriage Script by Gay Canvasser",2,0,1,0
"401",2,"Same-Sex Marriage Script by Gay Canvasser",46,45,44,48
"402",2,"Same-Sex Marriage Script by Gay Canvasser",50,27,40,54
"403",2,"Same-Sex Marriage Script by Gay Canvasser",62,NA,75,80
"404",2,"Same-Sex Marriage Script by Gay Canvasser",81,83,83,NA
"405",2,"Same-Sex Marriage Script by Gay Canvasser",50,50,46,49
"406",2,"Same-Sex Marriage Script by Gay Canvasser",51,75,67,62
"407",2,"No Contact",62,69,61,65
"408",2,"No Contact",43,46,60,49
"409",2,"No Contact",11,NA,19,0
"410",2,"Same-Sex Marriage Script by Gay Canvasser",16,17,12,24
"411",2,"Same-Sex Marriage Script by Gay Canvasser",50,63,61,62
"412",2,"No Contact",44,22,48,52
"413",2,"No Contact",96,100,90,97
"414",2,"No Contact",100,100,92,100
"415",2,"Same-Sex Marriage Script by Gay Canvasser",92,98,91,84
"416",2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,48,55
"417",2,"No Contact",53,50,67,46
"418",2,"No Contact",55,63,NA,59
"419",2,"No Contact",51,46,NA,54
"420",2,"No Contact",57,53,56,56
"421",2,"No Contact",44,40,25,60
"422",2,"No Contact",9,20,8,12
"423",2,"No Contact",50,54,47,34
"424",2,"No Contact",51,37,28,44
"425",2,"No Contact",5,25,NA,4
"426",2,"No Contact",50,46,54,42
"427",2,"Same-Sex Marriage Script by Gay Canvasser",50,48,NA,50
"428",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
"429",2,"Same-Sex Marriage Script by Gay Canvasser",74,100,NA,96
"430",2,"Same-Sex Marriage Script by Gay Canvasser",50,NA,93,NA
"431",2,"No Contact",50,48,44,43
"432",2,"No Contact",67,53,64,78
"433",2,"Same-Sex Marriage Script by Gay Canvasser",64,68,68,69
"434",2,"No Contact",90,80,97,100
"435",2,"No Contact",96,100,97,86
"436",2,"No Contact",91,90,81,85
"437",2,"Same-Sex Marriage Script by Gay Canvasser",50,65,47,56
"438",2,"Same-Sex Marriage Script by Gay Canvasser",50,79,72,80
"439",2,"Same-Sex Marriage Script by Gay Canvasser",70,71,70,NA
"440",2,"Same-Sex Marriage Script by Gay Canvasser",50,45,60,NA
"441",2,"Same-Sex Marriage Script by Gay Canvasser",6,28,NA,34
"442",2,"No Contact",1,11,0,13
"443",2,"No Contact",90,92,97,82
"444",2,"No Contact",47,39,39,48
"445",2,"No Contact",69,65,72,65
"446",2,"No Contact",94,NA,96,NA
"447",2,"No Contact",97,99,82,NA
"448",2,"No Contact",10,NA,17,NA
"449",2,"Same-Sex Marriage Script by Gay Canvasser",99,100,100,94
"450",2,"No Contact",97,100,92,94
"451",2,"No Contact",2,2,13,0
"452",2,"No Contact",77,NA,86,74
"453",2,"Same-Sex Marriage Script by Gay Canvasser",69,71,61,60
"454",2,"Same-Sex Marriage Script by Gay Canvasser",54,55,66,49
"455",2,"Same-Sex Marriage Script by Gay Canvasser",78,NA,91,77
"456",2,"Same-Sex Marriage Script by Gay Canvasser",98,100,91,94
"457",2,"Same-Sex Marriage Script by Gay Canvasser",20,29,17,30
"458",2,"No Contact",2,11,NA,3
"459",2,"No Contact",64,58,55,54
"460",2,"No Contact",50,46,51,47
"461",2,"No Contact",50,54,42,51
"462",2,"Same-Sex Marriage Script by Gay Canvasser",100,NA,100,100
"463",2,"Same-Sex Marriage Script by Gay Canvasser",45,54,48,NA
"464",2,"Same-Sex Marriage Script by Gay Canvasser",50,49,60,48
"465",2,"Same-Sex Marriage Script by Gay Canvasser",52,54,48,55
"466",2,"Same-Sex Marriage Script by Gay Canvasser",49,NA,47,51
"467",2,"Same-Sex Marriage Script by Gay Canvasser",50,63,NA,NA
"468",2,"Same-Sex Marriage Script by Gay Canvasser",79,84,85,74
"469",2,"Same-Sex Marriage Script by Gay Canvasser",99,100,100,100
"470",2,"No Contact",11,11,14,NA
"471",2,"No Contact",50,53,43,48
"472",2,"No Contact",2,4,0,0
"473",2,"No Contact",50,47,55,61
"474",2,"Same-Sex Marriage Script by Gay Canvasser",90,98,89,90
"475",2,"Same-Sex Marriage Script by Gay Canvasser",53,56,44,59
"476",2,"No Contact",91,NA,NA,95
"477",2,"No Contact",92,100,100,100
"478",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,99,92
"479",2,"Same-Sex Marriage Script by Gay Canvasser",2,0,24,6
"480",2,"Same-Sex Marriage Script by Gay Canvasser",50,52,50,45
"481",2,"Same-Sex Marriage Script by Gay Canvasser",67,72,83,80
"482",2,"Same-Sex Marriage Script by Gay Canvasser",74,69,NA,77
"483",2,"No Contact",50,53,46,58
"484",2,"No Contact",4,2,17,NA
"485",2,"No Contact",100,100,100,NA
"486",2,"No Contact",44,43,NA,44
"487",2,"No Contact",3,5,1,1
"488",2,"Same-Sex Marriage Script by Gay Canvasser",90,79,90,NA
"489",2,"No Contact",11,15,0,8
"490",2,"No Contact",42,37,50,50
"491",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,98
"492",2,"No Contact",37,48,30,26
"493",2,"No Contact",70,79,51,77
"494",2,"No Contact",27,28,14,20
"495",2,"No Contact",99,100,100,NA
