"","PWGTP","SEX","AGEP","CIT","COW","ENG","FER","JWMNP","LANX","MAR","SCHL","WAGP","ESR","WKHP","WRK","NATIVITY","PINCP","ENG_c","CIT_c","Work_Class","FER_c","SEX_c","AGE_C"
"38",71,2,85,1,NA,NA,NA,NA,2,2,"21",0,6,NA,NA,1,16300,NA,"Born in US",NA,NA,"Female","over 75"
"39",84,1,76,1,NA,NA,NA,NA,2,1,"16",0,6,NA,NA,1,24700,NA,"Born in US",NA,NA,"Male","over 75"
"40",91,1,24,1,NA,1,NA,NA,1,5,"21",0,6,NA,2,1,0,"Very Well","Born in US",NA,NA,"Male","19-30"
"41",5,2,86,1,NA,1,NA,NA,1,3,"22",0,6,NA,NA,1,26200,"Very Well","Born in US",NA,NA,"Female","over 75"
"42",109,1,37,1,NA,NA,NA,NA,2,5,"17",0,6,NA,2,1,19400,NA,"Born in US",NA,NA,"Male","31-64"
"43",13,1,18,1,1,1,NA,NA,1,5,"14",630,6,25,NA,1,900,"Very Well","Born in US","Private",NA,"Male","14-18"
"44",11,2,58,4,NA,NA,NA,NA,2,5,"01",0,6,NA,2,2,8400,NA,"US Citizen by Naturalization",NA,NA,"Female","31-64"
"45",15,1,79,1,NA,NA,NA,NA,2,5,"13",0,6,NA,2,1,9000,NA,"Born in US",NA,NA,"Male","over 75"
"46",25,2,24,1,2,NA,2,NA,2,5,"19",0,6,NA,NA,1,0,NA,"Born in US","Private","No","Female","19-30"
"47",90,1,20,5,1,1,NA,NA,1,5,"16",160,6,10,2,2,160,"Very Well","Not a citizen of the US","Private",NA,"Male","19-30"
"48",39,1,94,1,NA,NA,NA,NA,2,2,"21",0,6,NA,2,1,9200,NA,"Born in US",NA,NA,"Male","over 75"
"49",10,1,61,1,NA,2,NA,NA,1,5,"17",0,6,NA,2,1,9000,"Well","Born in US",NA,NA,"Male","31-64"
"50",9,1,18,1,1,1,NA,NA,1,5,"14",630,6,25,NA,1,900,"Very Well","Born in US","Private",NA,"Male","14-18"
"51",8,2,14,1,NA,NA,NA,NA,2,5,"11",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","14-18"
"52",8,2,69,1,NA,NA,NA,NA,2,5,"15",0,6,NA,NA,1,0,NA,"Born in US",NA,NA,"Female","65-75"
"53",9,1,17,1,NA,1,NA,NA,1,5,"13",0,6,NA,NA,1,0,"Very Well","Born in US",NA,NA,"Male","14-18"
"54",17,1,88,4,NA,4,NA,NA,1,1,"21",0,6,NA,NA,2,0,"Not at all","US Citizen by Naturalization",NA,NA,"Male","over 75"
"55",81,1,78,4,NA,1,NA,NA,1,3,"19",0,6,NA,NA,2,0,"Very Well","US Citizen by Naturalization",NA,NA,"Male","over 75"
"56",52,1,74,1,NA,NA,NA,NA,2,5,"17",0,6,NA,NA,1,0,NA,"Born in US",NA,NA,"Male","65-75"
"57",41,2,19,1,1,NA,2,10,2,5,"18",1000,1,15,NA,1,1000,NA,"Born in US","Private","No","Female","19-30"
"58",8,2,69,1,NA,NA,NA,NA,2,5,"01",0,6,NA,2,1,0,NA,"Born in US",NA,NA,"Female","65-75"
"59",62,2,73,1,NA,NA,NA,NA,2,5,"16",0,6,NA,NA,1,4200,NA,"Born in US",NA,NA,"Female","65-75"
"60",15,1,67,1,NA,NA,NA,NA,2,5,"19",0,6,NA,2,1,11200,NA,"Born in US",NA,NA,"Male","65-75"
"61",24,2,76,1,NA,NA,NA,NA,2,5,"01",0,6,NA,2,1,0,NA,"Born in US",NA,NA,"Female","over 75"
"62",25,1,23,1,1,NA,NA,NA,2,5,"19",1300,6,45,NA,1,1300,NA,"Born in US","Private",NA,"Male","19-30"
"63",20,2,20,1,NA,1,2,NA,1,5,"19",0,6,NA,NA,1,0,"Very Well","Born in US",NA,"No","Female","19-30"
"64",61,1,28,1,1,1,NA,NA,1,5,"16",0,6,NA,NA,1,0,"Very Well","Born in US","Private",NA,"Male","19-30"
"65",61,2,18,1,1,1,2,8,1,5,"18",4000,1,15,NA,1,4000,"Very Well","Born in US","Private","No","Female","14-18"
"66",7,1,63,1,NA,NA,NA,NA,2,5,"01",0,6,NA,2,1,0,NA,"Born in US",NA,NA,"Male","31-64"
"67",85,1,19,1,1,NA,NA,NA,2,5,"19",1000,6,6,2,1,1000,NA,"Born in US","Private",NA,"Male","19-30"
"68",93,1,18,3,NA,2,NA,NA,1,5,"16",0,6,NA,2,1,0,"Well","Born Abroad by American Parent",NA,NA,"Male","14-18"
"69",43,1,38,5,1,1,NA,15,1,1,"20",37000,1,40,NA,2,37000,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"70",21,2,23,4,4,1,2,8,1,5,"19",750,1,10,1,2,750,"Very Well","US Citizen by Naturalization","Government","No","Female","19-30"
"71",10,1,15,1,NA,NA,NA,NA,2,5,"13",0,NA,NA,NA,1,1900,NA,"Born in US",NA,NA,"Male","14-18"
"72",77,1,21,5,NA,1,NA,NA,1,5,"21",0,6,NA,2,2,0,"Very Well","Not a citizen of the US",NA,NA,"Male","19-30"
"73",46,1,20,1,9,NA,NA,NA,2,5,"19",0,3,NA,2,1,0,NA,"Born in US","Unemployed",NA,"Male","19-30"
"74",71,1,76,1,NA,NA,NA,NA,2,2,"16",0,6,NA,NA,1,0,NA,"Born in US",NA,NA,"Male","over 75"
"75",25,1,78,1,1,NA,NA,NA,2,1,"20",0,6,NA,2,1,12000,NA,"Born in US","Private",NA,"Male","over 75"
"76",39,1,20,5,1,1,NA,NA,1,5,"16",160,6,10,2,2,160,"Very Well","Not a citizen of the US","Private",NA,"Male","19-30"
"77",86,2,18,1,1,1,2,8,1,5,"18",4000,1,15,NA,1,4000,"Very Well","Born in US","Private","No","Female","14-18"
"78",111,2,94,1,NA,NA,NA,NA,2,2,"17",0,6,NA,2,1,12500,NA,"Born in US",NA,NA,"Female","over 75"
"79",29,2,23,1,NA,NA,2,NA,2,5,"17",0,6,NA,2,1,9000,NA,"Born in US",NA,"No","Female","19-30"
"80",17,2,74,1,NA,NA,NA,NA,2,5,"16",0,6,NA,NA,1,14100,NA,"Born in US",NA,NA,"Female","65-75"
"81",14,1,85,1,NA,NA,NA,NA,2,2,"21",0,6,NA,NA,1,24500,NA,"Born in US",NA,NA,"Male","over 75"
"82",18,2,79,1,NA,NA,NA,NA,2,2,"01",0,6,NA,NA,1,14400,NA,"Born in US",NA,NA,"Female","over 75"
"83",4,1,23,1,NA,NA,NA,NA,2,5,"17",0,6,NA,NA,1,14200,NA,"Born in US",NA,NA,"Male","19-30"
"84",23,2,20,3,NA,1,2,NA,1,5,"19",0,6,NA,2,1,0,"Very Well","Born Abroad by American Parent",NA,"No","Female","19-30"
"85",133,2,60,1,NA,NA,NA,NA,2,3,"16",0,6,NA,2,1,10900,NA,"Born in US",NA,NA,"Female","31-64"
"86",33,2,23,1,NA,NA,2,NA,2,5,"17",0,6,NA,2,1,9000,NA,"Born in US",NA,"No","Female","19-30"
"87",21,1,47,1,NA,NA,NA,NA,2,5,"01",0,6,NA,2,1,1400,NA,"Born in US",NA,NA,"Male","31-64"
"88",25,1,20,1,1,1,NA,NA,1,5,"19",1300,6,45,NA,1,1300,"Very Well","Born in US","Private",NA,"Male","19-30"
"89",6,1,57,1,NA,NA,NA,NA,2,5,"01",0,6,NA,2,1,1400,NA,"Born in US",NA,NA,"Male","31-64"
"90",22,2,84,4,NA,1,NA,NA,1,2,"17",0,6,NA,2,2,8400,"Very Well","US Citizen by Naturalization",NA,NA,"Female","over 75"
"91",21,2,19,1,1,NA,2,NA,2,5,"19",4000,1,15,1,1,4000,NA,"Born in US","Private","No","Female","19-30"
"92",53,1,18,1,1,1,NA,NA,1,5,"18",500,6,15,NA,1,500,"Very Well","Born in US","Private",NA,"Male","14-18"
"93",19,2,21,1,2,1,2,NA,1,5,"19",0,6,NA,NA,1,0,"Very Well","Born in US","Private","No","Female","19-30"
"94",28,1,86,1,NA,NA,NA,NA,2,5,"16",0,6,NA,2,1,61900,NA,"Born in US",NA,NA,"Male","over 75"
"95",11,1,15,1,NA,NA,NA,NA,2,5,"12",0,NA,NA,NA,1,3600,NA,"Born in US",NA,NA,"Male","14-18"
"96",40,1,25,1,2,NA,NA,NA,2,5,"21",6000,6,20,NA,1,6000,NA,"Born in US","Private",NA,"Male","19-30"
"97",24,1,19,1,1,NA,NA,NA,2,5,"19",500,6,15,NA,1,500,NA,"Born in US","Private",NA,"Male","19-30"
"98",72,1,18,1,NA,NA,NA,NA,2,5,"19",0,6,NA,2,1,0,NA,"Born in US",NA,NA,"Male","14-18"
"99",77,1,18,5,NA,2,NA,NA,1,5,"18",0,6,NA,NA,2,0,"Well","Not a citizen of the US",NA,NA,"Male","14-18"
"100",45,2,52,1,4,NA,NA,30,2,1,"22",26000,1,50,1,1,26000,NA,"Born in US","Government",NA,"Female","31-64"
"101",73,1,54,4,1,1,NA,20,1,1,"20",40000,1,40,1,2,40000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"102",46,2,27,4,3,NA,2,30,2,1,"15",30000,1,37,1,2,30000,NA,"US Citizen by Naturalization","Government","No","Female","19-30"
"103",53,2,22,4,3,NA,2,45,2,5,"19",12000,1,20,1,2,12000,NA,"US Citizen by Naturalization","Government","No","Female","19-30"
"104",121,2,36,4,1,1,2,NA,1,1,"16",18000,2,24,1,2,18010,"Very Well","US Citizen by Naturalization","Private","No","Female","31-64"
"105",142,1,42,4,1,2,NA,NA,1,1,"12",50000,2,40,1,2,50010,"Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"106",157,2,20,1,1,1,2,NA,1,5,"19",10000,2,20,2,1,10000,"Very Well","Born in US","Private","No","Female","19-30"
"107",114,2,15,1,NA,1,2,NA,1,5,"11",0,NA,NA,NA,1,0,"Very Well","Born in US",NA,"No","Female","14-18"
"108",106,2,11,1,NA,1,NA,NA,1,5,"07",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"109",105,2,8,1,NA,1,NA,NA,1,5,"04",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"110",104,1,29,4,1,1,NA,45,1,1,"21",140000,1,40,1,2,140000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","19-30"
"111",152,2,29,4,1,1,2,15,1,1,"21",65000,1,40,1,2,65000,"Very Well","US Citizen by Naturalization","Private","No","Female","19-30"
"112",34,2,57,4,1,1,NA,35,1,1,"20",35000,1,40,1,2,35000,"Very Well","US Citizen by Naturalization","Private",NA,"Female","31-64"
"113",40,1,62,4,1,1,NA,20,1,1,"16",35000,1,55,1,2,35000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"114",53,1,28,4,4,1,NA,90,1,5,"21",50000,1,40,1,2,50000,"Very Well","US Citizen by Naturalization","Government",NA,"Male","19-30"
"115",41,2,20,4,NA,NA,2,NA,2,5,"16",0,6,NA,2,2,0,NA,"US Citizen by Naturalization",NA,"No","Female","19-30"
"116",74,1,40,4,1,2,NA,20,1,1,"21",120000,1,40,1,2,120000,"Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"117",74,2,35,4,2,2,2,40,1,1,"21",1e+05,1,40,1,2,1e+05,"Well","US Citizen by Naturalization","Private","No","Female","31-64"
"118",77,2,8,1,NA,2,NA,NA,1,5,"05",NA,NA,NA,NA,1,NA,"Well","Born in US",NA,NA,"Female","6-13"
"119",60,1,6,1,NA,2,NA,NA,1,5,"03",NA,NA,NA,NA,1,NA,"Well","Born in US",NA,NA,"Male","6-13"
"120",145,1,36,5,1,1,NA,NA,1,1,"22",120000,2,40,1,2,120100,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"121",146,2,35,5,1,1,2,NA,1,1,"22",98000,2,40,1,2,98100,"Very Well","Not a citizen of the US","Private","No","Female","31-64"
"122",138,2,2,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","5 and under"
"123",82,1,48,4,1,1,NA,40,1,1,"21",1e+05,1,55,1,2,1e+05,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"124",70,2,48,5,NA,2,2,NA,1,1,"20",0,6,NA,2,2,0,"Well","Not a citizen of the US",NA,"No","Female","31-64"
"125",72,1,16,1,NA,1,NA,NA,1,5,"14",0,6,NA,2,1,0,"Very Well","Born in US",NA,NA,"Male","14-18"
"126",62,1,14,1,NA,1,NA,NA,1,5,"12",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","14-18"
"127",64,1,9,1,NA,1,NA,NA,1,5,"07",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"128",83,2,6,1,NA,1,NA,NA,1,5,"04",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"129",56,1,28,1,3,NA,NA,13,2,5,"21",75000,1,40,1,1,75000,NA,"Born in US","Government",NA,"Male","19-30"
"130",77,1,33,5,1,1,NA,35,1,1,"22",120000,1,40,NA,2,120000,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"131",66,2,30,5,NA,1,2,NA,1,1,"22",0,6,NA,NA,2,0,"Very Well","Not a citizen of the US",NA,"No","Female","19-30"
"132",95,1,36,1,2,2,NA,30,1,5,"21",80000,1,40,1,1,80000,"Well","Born in US","Private",NA,"Male","31-64"
"133",79,1,4,1,NA,NA,NA,NA,NA,5,"01",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"134",88,2,1,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","5 and under"
"135",84,2,34,1,NA,NA,2,NA,2,5,"22",0,6,NA,2,1,0,NA,"Born in US",NA,"No","Female","31-64"
"136",61,1,50,4,1,1,NA,45,1,1,"20",110000,1,45,1,2,110000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"137",53,2,44,4,NA,2,2,NA,1,1,"19",0,6,NA,2,2,0,"Well","US Citizen by Naturalization",NA,"No","Female","31-64"
"138",60,1,17,1,NA,1,NA,NA,1,5,"14",0,6,NA,2,1,0,"Very Well","Born in US",NA,NA,"Male","14-18"
"139",44,1,14,1,NA,1,NA,NA,1,5,"11",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","14-18"
"140",43,1,5,1,NA,1,NA,NA,1,5,"02",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","5 and under"
"141",115,1,48,1,1,NA,NA,NA,2,3,"20",40000,2,40,NA,1,40000,NA,"Born in US","Private",NA,"Male","31-64"
"142",75,2,17,1,NA,NA,2,NA,2,5,"14",0,6,NA,NA,1,0,NA,"Born in US",NA,"No","Female","14-18"
"143",77,1,16,1,NA,NA,NA,NA,2,5,"12",0,6,NA,NA,1,0,NA,"Born in US",NA,NA,"Male","14-18"
"144",95,1,11,1,NA,NA,NA,NA,2,5,"07",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","6-13"
"145",78,2,38,1,2,1,2,NA,1,5,"16",15000,2,40,NA,1,19000,"Very Well","Born in US","Private","No","Female","31-64"
"146",69,1,52,4,2,3,NA,80,1,1,"21",65000,1,36,NA,2,65000,"Not Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"147",61,2,51,5,1,1,NA,NA,1,1,"18",120000,3,40,2,2,120000,"Very Well","Not a citizen of the US","Private",NA,"Female","31-64"
"148",68,1,25,1,1,1,NA,NA,1,5,"01",120000,2,40,NA,1,120200,"Very Well","Born in US","Private",NA,"Male","19-30"
"149",92,1,24,1,3,NA,NA,60,2,5,"21",28000,1,36,NA,1,28000,NA,"Born in US","Government",NA,"Male","19-30"
"150",27,2,94,5,NA,NA,NA,NA,2,2,"16",0,6,NA,2,2,23900,NA,"Not a citizen of the US",NA,NA,"Female","over 75"
"151",130,1,37,1,1,NA,NA,NA,2,1,"19",56000,2,40,1,1,56010,NA,"Born in US","Private",NA,"Male","31-64"
"152",141,2,38,1,1,NA,2,NA,2,1,"19",36000,2,40,1,1,36010,NA,"Born in US","Private","No","Female","31-64"
"153",138,2,14,1,NA,NA,NA,NA,2,5,"10",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","14-18"
"154",161,1,6,1,NA,NA,NA,NA,2,5,"03",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","6-13"
"155",177,2,3,1,NA,NA,NA,NA,NA,5,"01",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","5 and under"
"156",45,1,78,1,NA,2,NA,NA,1,1,"21",0,6,NA,2,1,69100,"Well","Born in US",NA,NA,"Male","over 75"
"157",44,2,73,4,NA,2,NA,NA,1,1,"18",0,6,NA,2,2,11400,"Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
"158",43,2,60,1,1,NA,NA,15,2,3,"19",13000,1,30,1,1,13000,NA,"Born in US","Private",NA,"Female","31-64"
"159",73,1,36,5,1,1,NA,10,1,1,"21",60000,1,40,1,2,60010,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"160",90,2,38,4,7,1,2,45,1,5,"24",6000,1,20,NA,2,6000,"Very Well","US Citizen by Naturalization","Self-Employed","No","Female","31-64"
"161",100,1,40,4,1,1,NA,90,1,3,"21",1e+05,1,40,1,2,1e+05,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"162",93,2,11,1,NA,1,NA,NA,1,5,"06",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"163",57,1,39,4,1,1,NA,40,1,1,"19",95000,1,45,1,2,95000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"164",52,2,33,4,3,2,2,55,1,1,"22",65000,1,40,1,2,65000,"Well","US Citizen by Naturalization","Government","No","Female","31-64"
"165",55,2,4,1,NA,NA,NA,NA,NA,5,"01",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","5 and under"
"166",63,2,75,1,NA,1,NA,NA,1,2,"16",0,6,NA,2,1,22200,"Very Well","Born in US",NA,NA,"Female","65-75"
"167",76,2,59,1,2,NA,NA,13,2,5,"22",97000,1,40,1,1,97000,NA,"Born in US","Private",NA,"Female","31-64"
"168",57,1,59,4,1,1,NA,NA,1,1,"22",72000,6,40,2,2,76800,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"169",55,2,58,4,1,1,NA,40,1,1,"20",140000,1,40,1,2,140000,"Very Well","US Citizen by Naturalization","Private",NA,"Female","31-64"
"170",70,1,24,1,1,NA,NA,30,2,5,"19",40000,1,40,1,1,40000,NA,"Born in US","Private",NA,"Male","19-30"
"171",70,1,20,1,NA,NA,NA,NA,2,5,"19",0,6,NA,2,1,0,NA,"Born in US",NA,NA,"Male","19-30"
"172",58,2,60,4,4,1,NA,10,1,3,"21",70000,1,40,1,2,70000,"Very Well","US Citizen by Naturalization","Government",NA,"Female","31-64"
"173",63,2,31,1,1,1,2,30,1,5,"21",47000,1,40,1,1,47000,"Very Well","Born in US","Private","No","Female","31-64"
"174",28,1,47,4,1,1,NA,20,1,1,"22",126000,1,40,1,2,126000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"175",26,2,35,5,1,3,2,NA,1,1,"22",0,6,NA,2,2,0,"Not Well","Not a citizen of the US","Private","No","Female","31-64"
"176",26,2,5,5,NA,3,NA,NA,1,5,"01",NA,NA,NA,NA,2,NA,"Not Well","Not a citizen of the US",NA,NA,"Female","5 and under"
"177",150,2,70,4,NA,1,NA,NA,1,5,"21",0,6,NA,2,2,26450,"Very Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
"178",195,2,66,4,NA,1,NA,NA,1,5,"21",0,6,NA,2,2,19230,"Very Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
"179",240,2,82,4,NA,1,NA,NA,1,5,"19",0,6,NA,2,2,20450,"Very Well","US Citizen by Naturalization",NA,NA,"Female","over 75"
"180",61,1,70,1,NA,NA,NA,NA,2,1,"19",0,6,NA,2,1,169030,NA,"Born in US",NA,NA,"Male","65-75"
"181",70,2,69,1,NA,NA,NA,NA,2,1,"16",0,6,NA,2,1,0,NA,"Born in US",NA,NA,"Female","65-75"
"182",109,2,41,1,4,NA,2,30,2,3,"22",70000,1,15,1,1,62900,NA,"Born in US","Government","No","Female","31-64"
"183",94,1,69,1,NA,NA,NA,NA,2,3,"13",0,6,NA,2,1,15600,NA,"Born in US",NA,NA,"Male","65-75"
"184",22,1,83,1,NA,1,NA,NA,1,1,"23",0,6,NA,2,1,40700,"Very Well","Born in US",NA,NA,"Male","over 75"
"185",27,2,84,1,NA,1,NA,NA,1,1,"22",0,6,NA,2,1,52000,"Very Well","Born in US",NA,NA,"Female","over 75"
"186",202,2,32,5,1,1,1,NA,1,1,"21",1e+05,2,40,1,2,100200,"Very Well","Not a citizen of the US","Private","Yes","Female","31-64"
"187",215,1,36,5,1,1,NA,NA,1,1,"22",120000,2,40,1,2,120200,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"188",203,1,0,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"189",202,1,0,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"190",209,1,40,5,1,1,NA,NA,1,1,"22",30000,3,40,2,2,30100,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"191",211,2,37,5,1,1,2,NA,1,1,"22",120000,2,40,1,2,120100,"Very Well","Not a citizen of the US","Private","No","Female","31-64"
"192",172,1,6,1,NA,1,NA,NA,1,5,"03",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"193",198,2,3,1,NA,NA,NA,NA,NA,5,"01",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","5 and under"
"194",197,1,57,1,1,1,NA,NA,1,1,"23",144000,2,40,1,1,149000,"Very Well","Born in US","Private",NA,"Male","31-64"
"195",193,2,55,1,1,1,NA,NA,1,1,"21",120000,2,40,1,1,125000,"Very Well","Born in US","Private",NA,"Female","31-64"
"196",230,2,22,1,1,1,2,15,1,5,"19",12000,1,20,1,1,12000,"Very Well","Born in US","Private","No","Female","19-30"
"197",241,2,68,4,NA,1,NA,NA,1,2,"19",0,6,NA,2,2,23000,"Very Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
